from_tconst,from_title,from_year,from_runtimeMinutes,from_averageRating,from_numVotes,from_budget,from_revenue,from_budget_formatted,from_revenue_formatted,budget_2023,revenue_2023,budget_2023_formatted,revenue_2023_formatted
tt0035423,Kate & Leopold,2001,118,6.4,91466,48000000,76019048,"48,000,000","76,019,048",82584392.99830605,130791394.48727272,"82,584,392","130,791,394"
tt0065134,Two Mules for Sister Sara,1970,116,7.0,31918,2500000,5050000,"2,500,000","5,050,000",19632860.82474227,39658378.86597938,"19,632,860","39,658,378"
tt0065377,Airport,1970,137,6.6,22999,10000000,100489151,"10,000,000","100,489,151",78531443.29896908,789155806.3918041,"78,531,443","789,155,806"
tt0065462,Beneath the Planet of the Apes,1970,95,6.0,55550,3000000,18999718,"3,000,000","18,999,718",23559432.989690725,149207527.68134022,"23,559,432","149,207,527"
tt0065466,Beyond the Valley of the Dolls,1970,109,6.1,12467,2090000,9000000,"2,090,000","9,000,000",16413071.649484538,70678298.96907216,"16,413,071","70,678,298"
tt0065488,The Boys in the Band,1970,120,7.6,6183,5500000,3500000,"5,500,000","3,500,000",43192293.81443299,27486005.154639177,"43,192,293","27,486,005"
tt0065528,Catch-22,1970,122,7.1,27289,18000000,24911670,"18,000,000","24,911,670",141356597.93814433,195634940.0087629,"141,356,597","195,634,940"
tt0065611,Darling Lili,1970,136,6.0,2532,25000000,3250000,"25,000,000","3,250,000",196328608.2474227,25522719.07216495,"196,328,608","25,522,719"
tt0065856,House of Dark Shadows,1970,97,6.3,3576,750000,3672000,"750,000","3,672,000",5889858.247422681,28836745.979381446,"5,889,858","28,836,745"
tt0065988,Little Big Man,1970,139,7.5,38856,15000000,31559552,"15,000,000","31,559,552",117797164.94845362,247841716.8428866,"117,797,164","247,841,716"
tt0066011,Love Story,1970,100,6.9,38690,2200000,136400000,"2,200,000","136,400,000",17276917.525773197,1071168886.5979382,"17,276,917","1,071,168,886"
tt0066026,M*A*S*H,1970,116,7.3,79899,3500000,81600000,"3,500,000","81,600,000",27486005.154639177,640816577.3195877,"27,486,005","640,816,577"
tt0066090,The Molly Maguires,1970,124,6.8,4484,11000000,2200000,"11,000,000","2,200,000",86384587.62886599,17276917.525773197,"86,384,587","17,276,917"
tt0066115,Myra Breckinridge,1970,94,4.5,3581,5000000,3000000,"5,000,000","3,000,000",39265721.64948454,23559432.989690725,"39,265,721","23,559,432"
tt0066206,Patton,1970,172,7.9,110690,12000000,89800000,"12,000,000","89,800,000",94237731.9587629,705212360.8247423,"94,237,731","705,212,360"
tt0066319,Ryan's Daughter,1970,200,7.4,11094,13300000,30800000,"13,300,000","30,800,000",104446819.58762887,241876845.36082476,"104,446,819","241,876,845"
tt0066473,Tora! Tora! Tora!,1970,144,7.5,38422,25485000,37150000,"25,485,000","37,150,000",200137383.2474227,291744311.85567015,"200,137,383","291,744,311"
tt0066495,The Twelve Chairs,1970,94,6.4,7353,1500000,1806258,"1,500,000","1,806,258",11779716.494845362,14184804.77103093,"11,779,716","14,184,804"
tt0066549,Waterloo,1970,123,7.3,13428,25000000,3052000,"25,000,000","3,052,000",196328608.2474227,23967796.494845364,"196,328,608","23,967,796"
