title,year,subgenres
Captain America: Brave New World,2025.0,"['action-epic', 'epic-adventure', 'epic-sci-fi', 'superhero-action']"
Gladiator II,2024.0,"['action-epic', 'epic-adventure', 'epic-drama', 'period-drama', 'sword-and-sandal-action']"
Furiosa: A Mad Max Saga,2024.0,"['action-epic', 'car-action', 'desert-adventure', 'dystopian-sci-fi']"
Dune: Part Two,2024.0,"['action-epic', 'desert-adventure', 'epic-drama', 'epic-sci-fi', 'space-sci-fi']"
A Minecraft Movie,2025.0,"['action-epic', 'epic-adventure', 'epic-fantasy', 'high-concept-comedy', 'survival-adventure']"
Gladiator,2000.0,"['action-epic', 'epic-adventure', 'epic-drama', 'period-drama', 'sword-and-sandal-action']"
Inception,2010.0,"['action-epic', 'epic-adventure', 'epic-drama', 'epic-sci-fi', 'psychological-thriller']"
The Electric State,2025.0,"['action-epic', 'artificial-intelligence-sci-fi', 'dystopian-sci-fi', 'epic-adventure', 'epic-drama', 'epic-sci-fi', 'quest-adventure', 'urban-adventure']"
Borderlands,2024.0,"['action-epic', 'epic-adventure', 'quest-adventure', 'space-sci-fi']"
Top Gun: Maverick,2022.0,"['action-epic', 'epic-drama']"
The Dark Knight,2008.0,"['action-epic', 'epic-drama', 'superhero-action', 'tragedy-drama']"
The Lord of the Rings: The Fellowship of the Ring,2001.0,"['action-epic', 'epic-adventure', 'epic-drama', 'epic-fantasy', 'quest-adventure', 'sword-and-sorcery-fantasy']"
The Super Mario Bros. Movie,2023.0,"['action-epic', 'cg-animation', 'epic-adventure', 'epic-fantasy', 'high-concept-comedy', 'quest-adventure', 'slapstick-comedy']"
The Northman,2022.0,"['action-epic', 'epic-adventure', 'epic-history', 'one-person-army-action', 'period-drama', 'tragedy-drama']"
Mission: Impossible - Dead Reckoning Part One,2023.0,"['action-epic', 'epic-adventure', 'spy-thriller']"
The Matrix,1999.0,"['action-epic', 'artificial-intelligence-sci-fi', 'cyberpunk-sci-fi', 'dystopian-sci-fi', 'epic-sci-fi', 'gun-fu-action', 'martial-arts-action']"
The Batman,2022.0,"['action-epic', 'epic-drama', 'serial-killer-crime', 'superhero-action']"
Black Hawk Down,2001.0,"['action-epic', 'docudrama', 'epic-drama', 'epic-history', 'epic-war', 'tragedy-drama']"
