,title
0,Captain America: Brave New World
1,Gladiator II
2,Furiosa: A Mad Max Saga
3,Dune: Part Two
4,Gladiator
5,Gladiator
6,Inception
7,The Electric State
8,Borderlands
9,Top Gun: Maverick
10,The Dark Knight
11,The Lord of the Rings: The Fellowship of the Ring
12,The Super Mario Bros. Movie
13,The Northman
14,Mission: Impossible - Dead Reckoning Part One
15,The Matrix
16,The Batman
17,Black Hawk Down
18,Mad Max: Fury Road
19,The Lord of the Rings: The Return of the King
20,Blade Runner 2049
21,Heat
22,Kingdom of Heaven
23,Top Gun
24,John Wick: Chapter 4
25,The Dark Knight Rises
26,Terminator 2: Judgment Day
27,Star Wars: Episode IV - A New Hope
28,Independence Day
29,Braveheart
30,Fast X
31,Road House
32,Road House
33,Avatar: The Way of Water
34,Bad Boys: Ride or Die
35,No Time to Die
36,Batman Begins
37,The Avengers
38,The Avengers
39,Rogue One: A Star Wars Story
40,Avatar
41,Solo Leveling: ReAwakening
42,Star Wars: Episode IX - The Rise of Skywalker
43,Guy Ritchie's the Covenant
44,The Lord of the Rings: The Two Towers
45,Transformers
46,300
47,Apocalypto
48,Transformers One
49,Star Wars: Episode I - The Phantom Menace
50,Star Wars: Episode III - Revenge of the Sith
51,Rebel Moon - Part One: A Child of Fire
52,Dunkirk
53,Godzilla x Kong: The New Empire
54,The Creator
55,Monkey Man
56,Star Wars: Episode V - The Empire Strikes Back
57,Napoleon
58,Star Wars: Episode VII - The Force Awakens
59,The Last Duel
60,Shang-Chi and the Legend of the Ten Rings
61,Star Wars: Episode VIII - The Last Jedi
62,Zack Snyder's Justice League
63,Mission: Impossible - Fallout
64,Batman
65,Godzilla Minus One
66,The Last Samurai
67,King Arthur: Legend of the Sword
68,Aquaman and the Lost Kingdom
69,Star Wars: Episode VI - Return of the Jedi
70,War of the Worlds
71,Star Wars: Episode II - Attack of the Clones
72,Fast & Furious
73,I Am Legend
74,Princess Mononoke
75,Sisu
76,The Last of the Mohicans
77,Daredevil
78,F9: The Fast Saga
79,RRR
80,The Expendables 4
81,The Hobbit: The Battle of the Five Armies
82,Fast Five
83,Kill
84,The Book of Eli
85,xXx
86,The Road Warrior
87,Robin Hood
88,Robin Hood
89,Robin Hood
90,Robin Hood
91,"Crouching Tiger, Hidden Dragon"
92,Godzilla: King of the Monsters
93,Atlas
94,Akira
95,Rebel Moon - Part Two: The Scargiver
96,300: Rise of an Empire
97,Fast & Furious 6
98,Exodus: Gods and Kings
99,The Woman King
100,War for the Planet of the Apes
101,Neon Genesis Evangelion: The End of Evangelion
102,Mad Max Beyond Thunderdome
103,The Last Kingdom: Seven Kings Must Die
104,Ben-Hur
105,After Earth
106,Godzilla
107,Godzilla
108,Titan A.E.
109,The Message
110,The Message
111,13 Assassins
112,The Princess
113,Hamburger Hill
114,The Transformers: The Movie
115,Sabotage
116,Athena
117,Shershaah
118,Ultraman: Rising
119,The Wind and the Lion
120,Carter
121,Godzilla: Final Wars
122,Godzilla vs. Biollante
123,Saaho
124,Steamboy
125,Xtreme
126,Godzilla vs. Destoroyah
127,Godzilla 1985
128,Mickey 17
129,Venom: The Last Dance
130,Elevation
131,Alien
132,Arrival
133,The Thing
134,The Thing
135,A Quiet Place: Day One
136,Starship Troopers
137,The Tomorrow War
138,Aliens
139,Men in Black
140,Edge of Tomorrow
141,Nope
142,Pixels
143,Annihilation
144,A Quiet Place
145,Predator
146,Man of Steel
147,Prey
148,Prey
149,Prey
150,They Live
151,Superman II
152,Signs
153,The 5th Wave
154,Transformers: Rise of the Beasts
155,Lilo & Stitch
156,The Faculty
157,Krull
158,Independence Day: Resurgence
159,Lifeforce
160,District 9
161,The Predator
162,Mars Attacks!
163,The Day the Earth Stood Still
164,No One Will Save You
165,Paul
166,Transformers: Revenge of the Fallen
167,A Quiet Place Part II
168,Alien³
169,Coneheads
170,Battleship
171,Men in Black: International
172,Slither
173,Transformers: Dark of the Moon
174,The Iron Giant
175,Ender's Game
176,We Can Be Heroes
177,The World's End
178,Bumblebee
179,Fire in the Sky
180,Predator 2
181,Invasion of the Body Snatchers
182,Howard the Duck
183,Cowboys & Aliens
184,The Blob
185,Chicken Little
186,The Invasion
187,Evolution
188,Evolution
189,The Watch
190,The Darkest Hour
191,Monsters vs. Aliens
192,Monsters
193,Battle Los Angeles
194,The Arrival
195,The Host
196,The Host
197,Penguins of Madagascar
198,The X Files
199,The Andromeda Strain
200,Killer Klowns from Outer Space
201,K-PAX
202,The Lego Movie 2: The Second Part
203,Rim of the World
204,Attack the Block
205,Skyline
206,Battle Beyond the Stars
207,Jimmy Neutron: Boy Genius
208,Beyond Skyline
209,Horror Express
210,Evangelion: 1.0 You Are (Not) Alone
211,Superman II: The Richard Donner Cut
212,Muppets from Space
213,Aliens in the Attic
214,Without Warning
215,Earth to Echo
216,Invaders from Mars
217,Buck Rogers in the 25th Century
218,Encounter
219,Occupation
220,The Deadly Spawn
221,Laserblast
222,Godzilla 2000
223,Godzilla vs. Mechagodzilla
224,2001: A Space Travesty
225,The Recall
226,Angry Video Game Nerd: The Movie
227,Terror of Mechagodzilla
228,Godzilla vs. Gigan
229,Mystery Science Theater 3000: The Movie
230,Returner
231,The Fall
232,Resistance
233,The Replacements
234,Jerry Maguire
235,The Longest Yard
236,The Longest Yard
237,Remember the Titans
238,The Waterboy
239,The Blind Side
240,Varsity Blues
241,Rudy
242,Friday Night Lights
243,Underdogs
244,Next Goal Wins
245,Little Giants
246,Draft Day
247,Blue Crush
248,Radio
249,The Game Plan
250,Invincible
251,Gridiron Gang
252,We Are Marshall
253,Home Team
254,80 for Brady
255,American Underdog
256,Heaven Can Wait
257,Greater
258,Concussion
259,Concussion
260,The Program
261,The Program
262,Facing the Giants
263,12 Mighty Orphans
264,My All-American
265,Safety
266,The Express
267,Woodlawn
268,Brian Banks
269,When the Game Stands Tall
270,Air Bud: Golden Receiver
271,Undefeated
272,The Magician
273,The 12th Man
274,The Boys in the Boat
275,Young Woman and the Sea
276,Soul Surfer
277,Point Break
278,Point Break
279,Nyad
280,The Big Blue
281,The Swimmers
282,Surf Ninjas
283,Drown
284,Chasing Mavericks
285,Big Wednesday
286,The Novice
287,Pride
288,Pride
289,Deep Water
290,Proximity
291,Companion
292,The Wild Robot
293,Subservience
294,Her
295,The Terminator
296,Blade Runner
297,Wallace & Gromit: Vengeance Most Fowl
298,Free Guy
299,Ex Machina
300,Avengers: Age of Ultron
301,WALL·E
302,Upgrade
303,Terminator: Dark Fate
304,Tron: Legacy
305,M3GAN
306,A.I. Artificial Intelligence
307,Y2K
308,Morgan
309,Big Hero 6
310,"I, Robot"
311,Ghost in the Shell
312,Ghost in the Shell
313,Finch
314,Afraid
315,Extinction
316,Extinction
317,The Mitchells vs. the Machines
318,Tron
319,I Am Mother
320,Transcendence
321,Chappie
322,Flight of the Navigator
323,Short Circuit
324,Archive
325,2010: The Year We Make Contact
326,Virtuosity
327,Bicentennial Man
328,Westworld
329,Automata
330,The Stepford Wives
331,The Stepford Wives
332,Wifelike
333,Oxygen
334,Ron's Gone Wrong
335,After Yang
336,I'm Your Man
337,Robots
338,Robots
339,S1m0ne
340,Astro Boy
341,D.A.R.Y.L.
342,Demon Seed
343,The Machine
344,The Machine
345,Stealth
346,Futureworld
347,Halloween III: Season of the Witch
348,Looker
349,Margaux
350,Zoe
351,Singularity
352,Ghost in the Shell 2: Innocence
353,Summer Wars
354,Superintelligence
355,Zone 414
356,Jung_E
357,Godzilla: Tokyo S.O.S.
358,Capsule
359,Android Kunjappan Ver 5.25
360,Mad Max
361,Escape from New York
362,Bloodsport
363,Death Race 2000
364,The Toxic Avenger
365,Kickboxer
366,Cyborg
367,Over the Top
368,Iron Sky
369,Saw 3D
370,Runaway
371,Assault on Precinct 13
372,Assault on Precinct 13
373,War
374,War
375,War
376,Foxy Brown
377,Lionheart
378,Double Impact
379,Coffy
380,El Mariachi
381,Showdown in Little Tokyo
382,Marked for Death
383,Stone Cold
384,Starcrash
385,Samurai Cop
386,Nemesis
387,Remo Williams: The Adventure Begins
388,Missing in Action
389,Cosmic Sin
390,Acts of Vengeance
391,Miami Connection
392,Doom: Annihilation
393,Invasion U.S.A.
394,Skyscraper
395,Surf Nazis Must Die
396,Wanted: Dead or Alive
397,Dolemite
398,Stowaway
399,Enter the Ninja
400,Vanquish
401,The Legend of the 7 Golden Vampires
402,Six-String Samurai
403,Double Trouble
404,Hard Kill
405,The Keeper
406,The Keeper
407,The Last House on the Left
408,The Last House on the Left
409,The Texas Chain Saw Massacre
410,Tremors
411,The Blair Witch Project
412,The Evil Dead
413,Halloween
414,Halloween
415,Halloween
416,Friday the 13th
417,Friday the 13th
418,Dead Alive
419,Sleepaway Camp
420,Piranha
421,House
422,House
423,House
424,Night of the Living Dead
425,Sting
426,Paranormal Activity
427,The Slumber Party Massacre
428,Friday the 13th Part 2
429,The Hills Have Eyes
430,The Hills Have Eyes
431,The Burning
432,The Sand
433,The Last Days on Mars
434,Night of the Creeps
435,"Silent Night, Deadly Night"
436,Open Water
437,Life After Beth
438,Eaten Alive
439,Madman
440,Happy Birthday to Me
441,The Little Mermaid
442,The Little Mermaid
443,The Little Mermaid
444,Ghoulies
445,The Toxic Avenger Part II
446,Antropophagus
447,The Mutilator
448,The Raven
449,The Island of Dr. Moreau
450,The Island of Dr. Moreau
451,Hell of the Living Dead
452,Bloody Birthday
453,Citizen Toxie: The Toxic Avenger IV
454,Mirror Mirror
455,White Dog
456,Saturday the 14th
457,Terror Firmer
458,The Hills Have Eyes Part II
459,Blood Rage
460,Dark Ride
461,The Haunting of Molly Hartley
462,Contamination
463,The Ritual
464,Ghoulies II
465,Prevenge
466,Warlock: The Armageddon
467,The Last Broadcast
468,Nightmare City
469,Cold Ground
470,Midnight
471,The Forest
472,Maniac
473,Maniac
474,Hollow
475,A League of Their Own
476,The Sandlot
477,Major League
478,Moneyball
479,42
480,Angels in the Outfield
481,Field of Dreams
482,The Bad News Bears
483,Trouble with the Curve
484,Rookie of the Year
485,Bull Durham
486,The Natural
487,Hardball
488,BASEketball
489,The Rookie
490,The Rookie
491,For Love of the Game
492,Fever Pitch
493,Fever Pitch
494,Eight Men Out
495,Little Big League
496,Major League II
497,Bad News Bears
498,Major League: Back to the Minors
499,Million Dollar Arm
500,The Babe
501,Cobb
502,The Scout
503,Ed
504,Sugar
505,Mr. 3000
506,Hoosiers
507,The Basketball Diaries
508,Air
509,Air
510,Champions
511,Champions
512,Space Jam
513,Hustle
514,Coach Carter
515,Uncle Drew
516,Love & Basketball
517,White Men Can't Jump
518,White Men Can't Jump
519,Space Jam: A New Legacy
520,He Got Game
521,Glory Road
522,Air Bud
523,Like Mike
524,Semi-Pro
525,The Sixth Man
526,The First Slam Dunk
527,The Way Back
528,The Way Back
529,Above the Rim
530,Sweetwater
531,Blue Chips
532,Hoop Dreams
533,Just Wright
534,Overcomer
535,Thunderstruck
536,Lady Ballers
537,Rise
538,Juwanna Mann
539,Rebound
540,High Flying Bird
541,The Air Up There
542,Celtic Pride
543,The Redeem Team
544,The Winning Season
545,Amateur
546,Amateur
547,More Than a Game
548,Wolves
549,The Substance
550,Wolf Man
551,The Human Centipede (First Sequence)
552,28 Days Later
553,Nightbitch
554,Infinity Pool
555,Hellboy: The Crooked Man
556,The Exorcist
557,Tusk
558,Death Becomes Her
559,Old
560,Evil Dead Rise
561,The Fly
562,Malignant
563,An American Werewolf in London
564,Hellraiser
565,Hellraiser
566,Titane
567,The Cloverfield Paradox
568,Teeth
569,Altered States
570,Saw X
571,Wishmaster
572,Overlord
573,Lamb
574,Apostle
575,The Taking of Deborah Logan
576,Crimes of the Future
577,Videodrome
578,Cabin Fever
579,Cabin Fever
580,Society
581,Nightbreed
582,Dreamcatcher
583,Thinner
584,Leviathan
585,Leviathan
586,Possessor
587,Raw
588,The Ruins
589,Freaks
590,Scanners
591,Idle Hands
592,eXistenZ
593,Re-Animator
594,Antlers
595,Swamp Thing
596,Frankenhooker
597,Clown
598,Frankenstein
599,The Company of Wolves
600,Basket Case
601,The Perfection
602,Amityville II: The Possession
603,The Cursed
604,Rabid
605,Rabid
606,From Beyond
607,Wounds
608,Splinter
609,A Nightmare on Elm Street 2: Freddy's Revenge
610,A Nightmare on Elm Street 4: The Dream Master
611,The Brood
612,Begotten
613,Hellbound: Hellraiser II
614,Deadgirl
615,Dagon
616,The Last Circus
617,A Nightmare on Elm Street: The Dream Child
618,Shivers
619,Body Snatchers
620,Poltergeist II: The Other Side
621,An American Werewolf in Paris
622,Afflicted
623,Street Trash
624,The Fly II
625,Brain Damage
626,Honeymoon
627,In My Skin
628,V/H/S/94
629,The Thaw
630,Burial Ground: The Nights of Terror
631,The Invisible Man
632,Body Parts
633,Brainscan
634,Dead Snow 2: Red vs. Dead
635,Sea Fever
636,Bride of Re-Animator
637,Nightwatch
638,Nightwatch
639,The Hole in the Ground
640,Poltergeist III
641,Xtro
642,It's Alive
643,Strangeland
644,Cabin Fever 2: Spring Fever
645,Ticks
646,Little Otik
647,Devil's Due
648,The Incredible Melting Man
649,Infini
650,The Resurrected
651,Faust
652,Beyond the Darkness
653,Await Further Instructions
654,Poison
655,Tetsuo II: Body Hammer
656,Bad Milo
657,Mad Love
658,Infection
659,The Invisible Woman
660,The Rental
661,17 Again
662,Jumanji: Welcome to the Jungle
663,13 Going on 30
664,The Emperor's New Groove
665,Big
666,Jumanji: The Next Level
667,Being John Malkovich
668,The Change-Up
669,Freaky Friday
670,Freaky Friday
671,The Hot Chick
672,Freaky
673,Porco Rosso
674,The Santa Clause
675,Family Switch
676,Dream a Little Dream
677,Little
678,Switch
679,It's a Boy Girl Thing
680,Down to Earth
681,Nine Lives
682,Nine Lives
683,All of Me
684,The Shaggy Dog
685,Like Father Like Son
686,18 Again!
687,Vice Versa
688,Prelude to a Kiss
689,Turnabout
690,Million Dollar Baby
691,Rocky
692,Warrior
693,Raging Bull
694,Southpaw
695,Real Steel
696,The Fighter
697,Creed
698,Cinderella Man
699,Rocky IV
700,Creed III
701,Rocky Balboa
702,Creed II
703,Rocky III
704,Undisputed
705,Rocky V
706,Rocky II
707,Bleed for This
708,Hands of Stone
709,A Prayer Before Dawn
710,Grudge Match
711,The Survivor
712,When We Were Kings
713,Sixty Minutes
714,The Power of One
715,The Champ
716,The Harder They Fall
717,Kickboxer 2: The Road Back
718,The Great White Hype
719,Chuck
720,Resurrecting the Champ
721,Champion
722,The Happiest Day in the Life of Olli Maki
723,Iron Man
724,The Ring
725,The Ring
726,Saturday Night
727,Revenge
728,Revenge
729,The Miracle
730,The Heat
731,A Real Pain
732,Deadpool & Wolverine
733,One of Them Days
734,Shrek
735,White Chicks
736,The Big Lebowski
737,Sonic the Hedgehog
738,That's My Boy
739,The Blues Brothers
740,Superbad
741,Toy Story
742,Finding Nemo
743,Napoleon Dynamite
744,Zootopia
745,Ferris Bueller's Day Off
746,The Union
747,Zombieland
748,3 Idiots
749,Ted
750,The Unbearable Weight of Massive Talent
751,"Monsters, Inc."
752,Hot Fuzz
753,Step Brothers
754,Talladega Nights: The Ballad of Ricky Bobby
755,Drive-Away Dolls
756,Wayne's World
757,Dumb and Dumber
758,Beverly Hills Cop: Axel F
759,Antz
760,Shaun of the Dead
761,Friday
762,Men in Black II
763,The Instigators
764,Clerks
765,Booksmart
766,Who Framed Roger Rabbit
767,Despicable Me 3
768,Diary of a Wimpy Kid
769,Hall Pass
770,Role Models
771,Shark Tale
772,Wreck-It Ralph
773,Super Mario Bros.
774,Tucker and Dale vs Evil
775,The Flintstones
776,Tommy Boy
777,The Interview
778,The Interview
779,Please Don't Destroy: The Treasure of Foggy Mountain
780,Jackpot!
781,City Slickers
782,Sideways
783,Asterix & Obelix: Mission Cleopatra
784,Grumpy Old Men
785,Rush Hour 3
786,Pokémon: Detective Pikachu
787,Anger Management
788,"Dude, Where's My Car?"
789,Twins
790,Ghost World
791,Harold & Kumar Go to White Castle
792,Ralph Breaks the Internet
793,Due Date
794,"I Love You, Man"
795,The Road to El Dorado
796,Bill & Ted's Excellent Adventure
797,Wild Wild West
798,A Goofy Movie
799,The SpongeBob SquarePants Movie
800,My Blue Heaven
801,Dirty Grandpa
802,Jay and Silent Bob Strike Back
803,Blades of Glory
804,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
805,Captain Underpants: The First Epic Movie
806,Murder Mystery 2
807,Dirty Rotten Scoundrels
808,Strays
809,Hunt for the Wilderpeople
810,"Planes, Trains & Automobiles"
811,Bill & Ted Face the Music
812,Swiss Army Man
813,The Producers
814,Babes
815,The Good Dinosaur
816,The Internship
817,Queenpins
818,The Do-Over
819,Mousehunt
820,Sisters
821,Sisters
822,Jack and Jill
823,Stripes
824,"See No Evil, Hear No Evil"
825,Midnight Run
826,Withnail and I
827,Daddy's Home
828,Me Time
829,Life
830,Life
831,Life
832,Grumpier Old Men
833,El Diario De Un Chico En Apuros 2: Las Reglas De Rodrick
834,Throw Momma from the Train
835,Chip 'n Dale: Rescue Rangers
836,Keanu
837,Year One
838,Last Flag Flying
839,The Man from Toronto
840,Nothing to Lose
841,Nothing to Lose
842,Dumb and Dumber To
843,Clerks III
844,The Hustle
845,Spies Like Us
846,Dog
847,Shanghai Noon
848,Barb and Star Go to Vista Del Mar
849,Yoga Hosers
850,Wayne's World 2
851,Hop
852,Good Burger
853,The Tuxedo
854,They Call Me Trinity
855,How High
856,The Jewel of the Nile
857,My Spy: The Eternal City
858,Open Season
859,Air America
860,Clerks II
861,Quiz Lady
862,Holmes & Watson
863,My Name Is Nobody
864,Spies in Disguise
865,Dumb and Dumberer: When Harry Met Lloyd
866,Beverly Hills Ninja
867,Black Sheep
868,Black Sheep
869,Jay and Silent Bob Reboot
870,Fire Island
871,My Spy
872,Bio-Dome
873,Home on the Range
874,Bandidas
875,Officer Black Belt
876,The Mighty
877,The Cowboy Way
878,Kangaroo Jack
879,The Last Detail
