,title,tconst
0,Captain America: Brave New World,tt14513804
1,Gladiator II,tt9218128
2,Furiosa: A Mad Max Saga,tt12037194
3,Dune: Part Two,tt15239678
4,Gladiator,tt0172495
5,Inception,tt1375666
6,The Electric State,tt7766378
7,Borderlands,tt4978420
8,Top Gun: Maverick,tt1745960
9,The Dark Knight,tt0468569
10,The Lord of the Rings: The Fellowship of the Ring,tt0120737
11,The Super Mario Bros. Movie,tt6718170
12,The Northman,tt11138512
13,Mission: Impossible - Dead Reckoning Part One,tt9603212
14,The Matrix,tt0133093
15,The Batman,tt1877830
16,Black Hawk Down,tt0265086
17,Mad Max: Fury Road,tt1392190
18,The Lord of the Rings: The Return of the King,tt0167260
19,Blade Runner 2049,tt1856101
20,Heat,tt0113277
21,Kingdom of Heaven,tt0320661
22,Top Gun,tt0092099
23,John Wick: Chapter 4,tt10366206
24,The Dark Knight Rises,tt1345836
25,Terminator 2: Judgment Day,tt0103064
26,Star Wars: Episode IV - A New Hope,tt0076759
27,Independence Day,tt0116629
28,Braveheart,tt0112573
29,Fast X,tt5433140
30,Road House,tt3359350
31,Avatar: The Way of Water,tt1630029
32,Bad Boys: Ride or Die,tt4919268
33,No Time to Die,tt2382320
34,Batman Begins,tt0372784
35,The Avengers,tt0848228
36,Rogue One: A Star Wars Story,tt3748528
37,Avatar,tt0499549
38,Solo Leveling: ReAwakening,tt33428606
39,Star Wars: Episode IX - The Rise of Skywalker,tt2527338
40,Guy Ritchie's the Covenant,tt4873118
41,The Lord of the Rings: The Two Towers,tt0167261
42,Transformers,tt0418279
43,300,tt0416449
44,Apocalypto,tt0472043
45,Transformers One,tt8864596
46,Star Wars: Episode I - The Phantom Menace,tt0120915
47,Star Wars: Episode III - Revenge of the Sith,tt0121766
48,Rebel Moon - Part One: A Child of Fire,tt14998742
49,Dunkirk,tt5013056
50,Godzilla x Kong: The New Empire,tt14539740
51,The Creator,tt11858890
52,Monkey Man,tt9214772
53,Star Wars: Episode V - The Empire Strikes Back,tt0080684
54,Napoleon,tt13287846
55,Star Wars: Episode VII - The Force Awakens,tt2488496
56,The Last Duel,tt4244994
57,Shang-Chi and the Legend of the Ten Rings,tt9376612
58,Star Wars: Episode VIII - The Last Jedi,tt2527336
59,Zack Snyder's Justice League,tt12361974
60,Mission: Impossible - Fallout,tt4912910
61,Batman,tt0096895
62,Godzilla Minus One,tt23289160
63,The Last Samurai,tt0325710
64,King Arthur: Legend of the Sword,tt1972591
65,Aquaman and the Lost Kingdom,tt9663764
66,Star Wars: Episode VI - Return of the Jedi,tt0086190
67,War of the Worlds,tt0407304
68,Star Wars: Episode II - Attack of the Clones,tt0121765
69,Fast & Furious,tt1013752
70,I Am Legend,tt0480249
71,Princess Mononoke,tt0119698
72,Sisu,tt14846026
73,The Last of the Mohicans,tt0104691
74,Daredevil,tt0287978
75,F9: The Fast Saga,tt5433138
76,RRR,tt8178634
77,The Expendables 4,tt3291150
78,The Hobbit: The Battle of the Five Armies,tt2310332
79,Fast Five,tt1596343
80,Kill,tt28259207
81,The Book of Eli,tt1037705
82,xXx,tt0295701
83,The Road Warrior,tt0082694
84,Robin Hood,tt0955308
85,"Crouching Tiger, Hidden Dragon",tt0190332
86,Godzilla: King of the Monsters,tt3741700
87,Atlas,tt14856980
88,Akira,tt0094625
89,Rebel Moon - Part Two: The Scargiver,tt23137904
