from_tconst,from_title,from_year,from_runtimeMinutes,from_averageRating,from_numVotes,from_budget,from_revenue
tt0035423,Kate & Leopold,2001.0,118,6.4,91466,48000000,76019048
tt0065134,Two Mules for Sister Sara,1970.0,116,7.0,31918,2500000,5050000
tt0065377,Airport,1970.0,137,6.6,22999,10000000,100489151
tt0065462,Beneath the Planet of the Apes,1970.0,95,6.0,55550,3000000,18999718
tt0065466,Beyond the Valley of the Dolls,1970.0,109,6.1,12467,2090000,9000000
tt0065488,The Boys in the Band,1970.0,120,7.6,6183,5500000,3500000
tt0065528,Catch-22,1970.0,122,7.1,27289,18000000,24911670
tt0065611,Darling Lili,1970.0,136,6.0,2532,25000000,3250000
tt0065856,House of Dark Shadows,1970.0,97,6.3,3576,750000,3672000
tt0065988,Little Big Man,1970.0,139,7.5,38856,15000000,31559552
tt0066011,Love Story,1970.0,100,6.9,38690,2200000,136400000
tt0066026,M*A*S*H,1970.0,116,7.3,79899,3500000,81600000
tt0066090,The Molly Maguires,1970.0,124,6.8,4484,11000000,2200000
tt0066115,Myra Breckinridge,1970.0,94,4.5,3581,5000000,3000000
tt0066206,Patton,1970.0,172,7.9,110690,12000000,89800000
tt0066319,Ryan's Daughter,1970.0,200,7.4,11094,13300000,30800000
tt0066473,Tora! Tora! Tora!,1970.0,144,7.5,38422,25485000,37150000
tt0066495,The Twelve Chairs,1970.0,94,6.4,7353,1500000,1806258
tt0066549,Waterloo,1970.0,123,7.3,13428,25000000,3052000
tt0066769,The Andromeda Strain,1971.0,131,7.2,41813,6500000,12376563
tt0066808,Bananas,1971.0,82,6.9,38733,2000000,11833696
tt0066921,A Clockwork Orange,1971.0,136,8.2,906884,2200000,27033812
tt0066952,"Count Yorga, Vampire",1970.0,93,5.7,3195,64000,7000000
tt0066993,The Devils,1971.0,111,7.7,19623,2000000,11000000
tt0066995,Diamonds Are Forever,1971.0,120,6.5,117642,7200000,116019547
tt0066999,Dirty Harry,1971.0,102,7.7,174104,4000000,35976000
tt0067065,Escape from the Planet of the Apes,1971.0,98,6.3,42805,2500000,12348905
tt0067093,Fiddler on the Roof,1971.0,181,8.0,49579,9000000,83304330
tt0067116,The French Connection,1971.0,104,7.7,142990,1800000,41200000
tt0067309,Klute,1971.0,114,7.1,31669,2500000,12512637
tt0067328,The Last Picture Show,1971.0,118,8.0,54624,1300000,29133000
tt0067372,Macbeth,1971.0,140,7.4,15474,2400000,1000000
tt0067482,A New Leaf,1971.0,102,7.3,8061,4000000,5000000
tt0067588,Play Misty for Me,1971.0,102,6.9,33288,725000,10600000
tt0067800,Straw Dogs,1971.0,113,7.4,66170,2200000,3251794
tt0067927,Vanishing Point,1971.0,99,7.2,31453,1300000,72266306
tt0067992,Willy Wonka & the Chocolate Factory,1971.0,100,7.8,235735,3000000,4000000
tt0068334,The Candidate,1972.0,110,7.0,12405,1600000,2500000
tt0068408,Conquest of the Planet of the Apes,1972.0,88,6.1,38944,1700000,9700000
tt0068473,Deliverance,1972.0,109,7.6,123802,2000000,46122355
tt0068555,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972.0,88,6.7,42673,2000000,18016290
tt0068611,Frenzy,1972.0,116,7.4,51120,2000000,12600000
tt0068638,The Getaway,1972.0,123,7.3,36969,3352254,36734619
tt0068646,The Godfather,1972.0,175,9.2,2107137,6000000,245066411
tt0068699,High Plains Drifter,1973.0,105,7.4,66998,5500000,15700000
tt0068718,The Hot Rock,1972.0,101,6.8,7171,4895000,3500000
tt0068828,Lady Sings the Blues,1972.0,144,7.0,5044,2000000,19726490
tt0068909,Man of La Mancha,1972.0,132,6.5,4960,12000000,11500000
tt0069089,Pink Flamingos,1972.0,93,6.0,29343,12000,6000000
tt0069113,The Poseidon Adventure,1972.0,117,7.1,51395,5000000,84563118
tt0069332,Super Fly,1972.0,91,6.4,8919,500000,30000000
tt0069449,Up the Sandbox,1972.0,97,5.7,1725,2926000,3500000
tt0069495,"What's Up, Doc?",1972.0,94,7.7,28524,4000000,66000000
tt0069704,American Graffiti,1973.0,110,7.4,101572,777000,140000000
tt0069768,Battle for the Planet of the Apes,1973.0,93,5.4,36465,1700000,8844595
tt0069897,Coffy,1973.0,90,6.8,13802,500000,4000000
tt0069976,Dillinger,1973.0,107,6.9,6111,1000000,2000000
tt0070034,Enter the Dragon,1973.0,102,7.6,116125,850000,400000000
tt0070047,The Exorcist,1973.0,122,8.1,474372,12000000,441306145
tt0070165,Heavy Traffic,1973.0,77,6.5,3927,950000,1500000
tt0070239,Jesus Christ Superstar,1973.0,106,7.4,30805,3500000,24593103
tt0070287,The Last American Hero,1973.0,95,6.4,2343,2000000,1000000
tt0070290,The Last Detail,1973.0,104,7.5,29709,2300000,10000000
tt0070328,Live and Let Die,1973.0,121,6.7,119114,7000000,126400000
tt0070334,The Long Goodbye,1973.0,112,7.5,40039,1700000,959000
tt0070337,Lost Horizon,1973.0,150,5.2,2991,5900000,3800000
tt0070379,Mean Streets,1973.0,112,7.2,123546,500000,3000000
tt0070510,Paper Moon,1973.0,102,8.1,54618,2500000,30900000
tt0070511,Papillon,1973.0,151,8.0,141701,12000000,53267000
tt0070608,Robin Hood,1973.0,83,7.5,143785,5000000,33000000
tt0070666,Serpico,1973.0,130,7.7,140101,3000000,29800000
tt0070698,Sisters,1972.0,93,6.9,22030,500000,1000000
tt0070707,Sleeper,1973.0,89,7.1,45569,2000000,18344729
tt0070735,The Sting,1973.0,129,8.3,288607,5500000,159616327
tt0070909,Westworld,1973.0,88,6.9,64791,1200000,10000000
tt0070917,The Wicker Man,1973.0,88,7.5,98869,810000,513000
tt0071110,Airport 1975,1974.0,107,5.7,12595,3000000,47000000
tt0071222,Black Christmas,1974.0,98,7.1,52490,686000,4000000
tt0071230,Blazing Saddles,1974.0,93,7.7,157787,2600000,119500000
tt0071249,Bring Me the Head of Alfredo Garcia,1974.0,112,7.4,22285,1500000,700000
tt0071315,Chinatown,1974.0,130,8.1,362781,6000000,30000000
tt0071360,The Conversation,1974.0,113,7.7,129032,1600000,4794457
tt0071402,Death Wish,1974.0,93,6.9,45755,3000000,76600000
tt0071455,Earthquake,1974.0,122,5.9,18539,7000000,79666653
